sampleID	isIncluded	subjectID	measurementid	perturbid	exptblock	intv	Clostridium-hiranonis	Clostridium-difficile	Proteus-mirabilis	Clostridium-scindens	Ruminococcus-obeum	Clostridium-ramosum	Bacteroides-ovatus	Akkermansia-muciniphila	Parabacteroides-distasonis	Bacteroides-fragilis	Bacteroides-vulgatus	Enterococcus-faecalis	Klebsiella-oxytoca	Lactobacillus-reuteri	Roseburia-hominis	Escherichia-coli
78	1	3	56	0	1	NA	0	26663739.1590734	47031873.2389212	8517583.3424818	139429136.019322	296448933.289421	1578715556.04347	1703331503.64109	45920884.1072932	506240714.311853	435137409.887657	740659.421085373	43328576.1334943	185164.855271343	116283529.110404	112024737.439163
79	1	4	0.75	0	1	NA	79935305.8479803	0	52849788.9904002	13392616.9827946	1381301.30315819	105519408.245606	401177943.699856	43300793.0250893	3903677.59588183	139391318.462181	1138612669.85113	8167694.66215276	493605017.854658	3603394.70389092	60056.5783981821	105038955.61842
80	1	4	1	0	1	NA	294718531.291206	0	147724921.391622	53629509.4161004	47291476.4851067	504117388.511343	2307775298.37374	748375426.851946	19014098.792981	576273455.725733	2835782195.62498	29008689.1841634	1548186428.64388	15601311.8301383	8531967.40710687	476815092.808601
81	1	4	2	0	1	NA	154840296.47356	535779.572572872	110638481.736298	13394489.3143218	22770631.8343471	689548309.901286	3087429786.95117	3312992987.00435	68847675.0756141	609181374.015355	1611357064.51291	6965134.44344733	691155648.619005	2411008.07657792	141445807.159238	223152191.976601
82	1	4	3	0	1	NA	39512944.1171219	0	95662917.33619	15987145.1526513	27685056.2399572	453099089.448313	1905849669.70184	2633589716.12212	84744866.9880378	361205499.018032	628697732.547759	3769326.90590966	523286555.972148	1949651.84788431	255794322.442421	249165506.159614
83	1	4	4	0	1	NA	7326300.69770172	0	78757732.5002935	11684186.4575415	31389409.0237738	350083489.373799	1185660715.49961	1019745267.80252	59305140.9926028	238799508.086295	175578585.6863	442104.352447518	73831426.8587355	0	88168239.4309621	85894559.9040892
84	1	4	6	0	1	NA	2806775.37842454	0	69516646.0005147	10443815.3615797	64098916.7816953	255808202.512692	961157382.495379	799735161.312963	42493273.7524273	347387408.464544	88054418.2673186	130547.692019746	22650024.5654259	0	65991858.3159816	59595021.407014
85	1	4	8	0	1	NA	4049687.31260173	0	74102173.1060282	9378223.25023559	112112396.127816	141881150.232731	1547762072.01805	1275367314.8862	61953111.168223	436229475.427625	179962420.400354	0	47601587.7095291	426282.875010708	107423284.502699	148346440.503727
86	1	4	10	0	1	NA	6411195.39628564	67486.2673293225	59860319.1211091	8030865.81218938	95155636.9343448	213661522.364635	1059264452.00105	1357081349.72535	90499084.4886215	313068794.140727	255030604.23751	134972.534658645	83480512.686372	0	158930159.560555	169255558.461941
87	1	4	14	0	1	NA	7993847.92848217	0	76577429.5876189	7085456.11842738	148612900.124964	311669230.029799	1472503124.09882	1955313371.14294	149157935.210997	644503989.233875	262434393.924829	181678.362010958	144615976.160723	0	245992502.162838	243358165.913679
88	1	4	17	0	1	NA	5076190.30127157	0	34341530.9077329	5385175.79787071	76098713.7338451	145134901.831139	709165855.480253	702897863.977813	63695153.0846511	317813653.644829	91812833.2751728	176563.140913794	57912710.2197244	0	100552708.750406	93269479.1877116
89	1	4	21	0	1	NA	26151931.173348	419549.697968149	131039355.665385	31326377.4482885	310466776.496431	653938129.233022	3231092073.95204	3021177375.06864	267532857.404357	1008177924.21746	532268716.822259	419549.697968149	154813838.550247	0	372280431.997071	445561779.242175
90	1	4	24	0	1	NA	19406913.4935954	0	128948158.546334	30188532.1011484	297357041.196311	735090756.662962	3078152112.45638	3613567292.50746	374553430.426391	859295003.021973	827812676.687918	862529.488604239	218435592.989023	0	395685402.897194	480644557.524712
91	1	4	28	0	1	NA	5267869.76393535	0	52759741.7895679	12967064.0343024	80719973.6135325	209823304.905056	1522171229.32667	1812714507.84526	203826037.789191	324095556.707346	329849691.372568	162088.30042878	118567591.763653	0	227328841.351364	259746501.43712
92	1	4	28.75	0	1	NA	4021973.39210189	268131.55947346	47928516.2558809	11127459.7181486	92438355.1284752	256199705.076891	1205720590.06228	1466612597.42996	123742714.697002	275572210.248848	229788746.468755	67032.8898683649	70384534.3617831	0	173950349.208407	178843750.168798
93	1	4	29	0	1	NA	2434990.26415372	1649509.53378155	30947940.7766634	9111576.47231713	69907785.0031228	208545133.91381	1155677798.59657	1261717697.19681	118057753.774937	254495756.640582	184745067.783534	78548.0730372167	51684632.0584886	0	94807524.1559205	119471619.089607
94	1	4	30	0	1	NA	3175349.17587873	8874693.85053287	53818097.5706626	26868339.1805123	35254517.7732177	167723571.854107	952604752.76362	1338613225.65698	94609121.5992586	428346461.905077	175539815.979347	162838.419275832	87444231.151122	0	73765803.9319521	243199179.188456
95	1	4	31	0	1	NA	0	189596894.692393	38792633.0150068	3358669.52510882	12930877.6716689	983418436.951861	1575216007.27603	2647639186.64328	17633015.0068213	2026789124.92691	74730396.9336711	3358669.52510882	114194763.8537	0	89508542.8441499	839163580.848438
96	1	4	32	0	1	NA	0	30479175.7899832	7637310.71519119	5255030.30861779	25434346.6937101	393917071.933989	516814714.084864	873876506.787748	350335.353907853	506234586.396847	283981837.877705	770737.778597276	95921819.89997	70067.0707815705	70557540.2770415	228628851.960265
97	1	4	34	0	1	NA	0	49250742.4246406	9941920.05466348	10247825.2871147	144846127.565636	410218916.717038	1215208535.91233	2081379201.59786	305905.232451184	496178287.03582	731878268.639458	2600194.47583506	98195579.61683	305905.232451184	208474415.915482	360662269.059946
98	1	4	36	0	1	NA	0	271306101.86586	30721426.2406929	18153570.0513186	228016819.435792	776414226.81024	1593524368.90036	3027057933.61217	5785203.64272789	873565750.051912	1191153481.05959	9176529.91605114	114307644.389072	0	290656610.601881	536827000.088992
99	1	4	38	0	1	NA	0	311416638.446777	38762134.5524326	5773083.86951123	136739615.080709	715037673.55232	1438322609.77537	2651330003.38639	14680127.5539	931775736.539113	969383254.317643	824726.267073033	60699853.2565752	0	232737752.56801	285850124.167513
100	1	4	42	0	1	NA	0	245563843.477432	67911443.6871455	17059879.5735824	171583019.557377	670420459.781072	1323452965.38138	2155122094.59352	18864289.913096	856110687.447373	808211794.798468	984223.821552833	44126034.6662854	0	302812862.431088	201109734.203962
101	1	4	45	0	1	NA	0	82711596.0315693	47432890.4723026	6708478.68576659	89735767.8319602	333214082.48596	935004082.238551	1473971152.18091	39461639.3280388	555619881.738786	440707588.015537	789232.786560776	35594398.673891	0	139694203.221257	72688339.6422475
102	1	4	49	0	1	NA	0	54023422.7427276	35215268.1582225	5042186.12265458	48180889.6164771	187121129.440737	863334312.778967	1575323007.17794	50021687.7247478	365518476.542277	360556325.119982	720312.303236368	47620646.7139599	0	107406567.882578	113249101.008829
