Sample	Subject	Time	Group	Strain4	Strain6	Strain7	Strain9	Strain13	Strain14	Strain15	Strain16	Strain21	Strain26	Strain27	Strain28	Strain29
66	2	10	High_fiber1	0.232602140981199	0.00256903857203115	0.0447845913232458	0.0196149566648325	0.000664825522356711	0.000833201699037131	0.1451159625823	0.0187470382283355	0.000430487544502518	0.000347167374598805	0.289884757790002	0.139040533526821	0.105365298190737
67	2	11	High_fiber1	0.278137930739376	0.00216091776959054	0.049422970769843	0.00909297081263345	0.00137357347334369	0.000526322545860666	0.133720159009315	0.0199831405623521	0.00035943978741704	0.000937110874337283	0.24604509257714	0.121738832762081	0.136501538316709
68	2	12	High_fiber1	0.314762354422411	0.00162277480502221	0.0440667296191376	0.00785740099558167	0.0010701920050362	0.000538593362011681	0.142225952739015	0.018815794075473	0.000431341004208489	0.000429009431212768	0.263467748516537	0.11681180708565	0.087900301938703
69	2	13	High_fiber1	0.366137959639011	0.00111843704858479	0.0437649279881005	0.00469114260787483	0.00138445915988501	0.000554927845077876	0.154464451722708	0.0197657289148872	0.000360417054019651	0.000858135842903932	0.27288719804345	0.106980935082023	0.0270312790514738
70	2	14	High_fiber1	0.356019987825195	0.00318260292146765	0.0396476804623513	0.00566395435176447	0.00165333524649125	0.00104108875227671	0.167221509433046	0.0171267191112878	0.000174503736456743	0.00100332905659828	0.27510635422856	0.0838804668285119	0.0482784680459924
71	2	15	High_fiber1	0.401005837847418	0.00214017480309727	0.0363342306115893	0.0129606859193779	0.000609263013304089	0.000704529593566183	0.12229570303413	0.0184994405857787	0.000378850819181815	0.000520642938641676	0.210251127136575	0.0881769742891008	0.106122539408239
72	2	16	High_fiber1	0.386143570842698	0.00205854469145797	0.0412774161935298	0.0100131022508176	0.00116109377163736	0.000825548323870597	0.155256346069857	0.0159783546555599	0.000450056989464938	0.000692395368407597	0.226093718376173	0.0998647165972496	0.0601851358692758
73	2	17	High_fiber1	0.4146371924566	0.0013363307106282	0.0352191832146871	0.0123142250530786	0.000704383664293743	0.000484575996003497	0.159360559510428	0.017284875733733	0.000314724615961034	0.000407143749219433	0.218308979642813	0.0814287498438866	0.0581990758086674
74	2	18	High_fiber1	0.387576034881843	0.00194326317489369	0.0325671529310438	0.0108736609786295	0.00117349410561447	0.00066480055983205	0.156107014049631	0.0149378263444044	0.000366044032943963	0.00110082359907412	0.228777520589977	0.0683641061527695	0.0955482585993433
75	2	19	High_fiber1	0.397514963598987	0.0025081301274698	0.0288671580708788	0.00695651186298227	0.00168234011380286	0.000873113223619203	0.143862558254871	0.0144572406404155	0.000212007980586126	0.000818691532174104	0.220762774427295	0.059627244539848	0.12185726562707
76	2	20	High_fiber1	0.462083853779341	0.00200717673985401	0.0353782950549808	0.00534284455932362	0.00146326553696791	0.000652212106115632	0.127554397137005	0.0181704848751772	0.000413950119010659	0.000851967105405659	0.215879800437536	0.0666652226546236	0.0635365298946593
77	2	21	High_fiber1	0.452697687565061	0.00181768462367494	0.0324012050490729	0.00845648472202754	0.001316729822207	0.000498656843663037	0.149826848879401	0.0165912553513692	0.000480273181223846	0.000641130227566762	0.211182322270199	0.0572191493419798	0.0668705721225547
78	2	23	High_fiber1	0.470668009533022	0.0017929260193652	0.0245305784629499	0.00498588993149387	0.00142596452040725	0.000721956862080313	0.118265309175035	0.0139206046887309	0.000333057447423791	0.000981223138517994	0.20342430920495	0.0604289859697057	0.0985211850463189
79	2	25	High_fiber1	0.505211159553169	0.00211206331979866	0.00629175008887974	0.00404636715753232	0.00106187901128305	0.00072273263102745	0.105018430851561	0.0193898171884063	0.000474804932357839	0.000619819246674027	0.218457047695676	0.0741444155455345	0.0624497127781
80	2	27	High_fiber1	0.458760865564396	0.00217377968276153	0.0136027931068513	0.00672138012338533	0.00204575339469704	0.000776159371390926	0.177903196122937	0.0155231874278185	0.000328067363165237	0.000765490514052219	0.2211120683447	0.0552113367278081	0.0450759222560366
81	2	29	High_fiber1	0.396900662437743	0.00306983344221759	0.0252541217958174	0.0148223079246661	0.00129607384459758	0.000762189767690179	0.173161085470626	0.014787183972238	0.000488222938750852	0.0013592969589682	0.210743714568713	0.0786776534389862	0.0786776534389862
82	2	31	NA	0.424142297384426	0.00286001507472415	0.0356397347107747	0.0072163099207767	0.00112220982849629	0.000780539644492174	0.19763852885066	0.0152573409753564	0.000284823334424125	0.000780539644492174	0.20117304799553	0.0603813687248663	0.0527232439109808
83	2	33	NA	0.478897471598719	0.00288225330128859	0.0383561400863789	0.00560930834789241	0.00123936891955409	0.00063409572628349	0.12526716270985	0.0178477992887486	0.000503285768763469	0.000851373282842168	0.221046657029594	0.066956961306858	0.0399081226332266
84	2	35	Low_fiber	0.439081441624122	0.000530889379418257	0.0445068915828088	0.00181021303433218	0.00140306478846254	0.000349269328564643	0.160065143719339	0.0140306478846254	0.000327315256483437	0.000401160771665675	0.164256375662115	0.0734463502353077	0.0997912367327551
85	2	36	Low_fiber	0.310184028645183	0.00270630360562911	0.0349737696727454	0.00418436172870347	0.00156549254725622	0.000270630360562911	0.0766092097593472	0.0169872595553335	0.000587059705221084	0.00109501207427763	0.303938712632193	0.0516279457073861	0.195270214006162
86	2	37	Low_fiber	0.205658679047059	0.0057406081143217	0.036505808882337	0.00401285227408896	0.0037620490069584	0.000509966643165472	0.0470952801611829	0.0203707986969377	0.000509966643165472	0.00256655343363606	0.387351712568309	0.0607501247049578	0.22516559982388
87	2	38	Low_fiber	0.143396747025981	0.00673086771754604	0.0330272391109402	0.00380440349252602	0.00595744502950503	0.000900932914988305	0.0211123490519301	0.0160119399740381	0.000443150296931602	0.00271743106609001	0.384621012431202	0.0468234276003202	0.334453054288002
88	2	39	Low_fiber	0.141220481646014	0.0099368716389993	0.0455927051671733	0.00399812953004442	0.00703764320785597	0.00101472995090016	0.0174187514613047	0.0220949263502455	0.000434884264671499	0.00306289455225625	0.413841477671265	0.060790273556231	0.273556231003039
89	2	40	Low_fiber	0.11766849369145	0.00808496424396095	0.0451695185460729	0.00726887630384283	0.00525712463750512	0.000829373092631675	0.0248622139896452	0.01698601642804	0.000563670042360658	0.00277090323854061	0.446001548669207	0.0512427311236962	0.273294565993046
90	2	41	Low_fiber	0.125190186302542	0.0089132716761837	0.0480204617715001	0.00574560612774791	0.00626793395754317	0.000918286023349739	0.0202191417985264	0.0200506489502053	0.000559396256425896	0.00235889987649474	0.491999117097475	0.0591409897606896	0.210616060401316
91	2	42	Low_fiber	0.153593845454143	0.00836383048018794	0.0479860320176681	0.00499131818978957	0.00618615111553071	0.00151088550609847	0.0134515061639889	0.0148583255765551	0.000418191524009397	0.00225476535986633	0.422045823769852	0.0564654914906697	0.267873833351641
92	2	43	Low_fiber	0.109157452141342	0.0145676307245301	0.039512203882972	0.00911973594672637	0.0114745036528833	0.00125321535548012	0.0153259457485467	0.0104168537509654	0.000544789477780372	0.00277383653521874	0.393126472977045	0.033525506324946	0.359201853481564
93	2	44	Low_fiber	0.153556863173145	0.0120811296228306	0.036714726574516	0.0062762336644274	0.00937713962511287	0.00126765035672822	0.027536044930887	0.0134703354932177	0.000488702779404031	0.00295206247457257	0.466376256487095	0.0310090596068547	0.238893795211209
94	2	45	Low_fiber	0.162226775956284	0.0145983273357324	0.0320705051312808	0.0080384512861522	0.0173888777822204	0.00168266026922564	0.0320705051312808	0.00947537651606024	0.000445655071304811	0.00287385045981607	0.501882580301213	0.0169099027055844	0.200336532053845
95	2	46	Low_fiber	0.111094670609153	0.0135108584125105	0.037840106146349	0.00878084514421689	0.0127831640635423	0.0022873859035902	0.043661660938095	0.00965407836297879	0.00040750883542222	0.00351718935334654	0.519088635597352	0.0222189341218306	0.215154962511613
96	2	47	Low_fiber	0.0859820050045254	0.0113134217111218	0.0548368205292019	0.00548368205292019	0.021455571527445	0.00141351221849545	0.0548368205292019	0.0206569770537188	0.000609593781611031	0.00338071660544109	0.47383272107757	0.0202310600010648	0.245967097907682
97	2	48	Low_fiber	0.12741310364779	0	0.048215908787811	0.00576539164654251	0.0184041149713474	0.00184041149713474	0.0461641679883297	0.0166191004757987	0.000664764019031948	0.00305709379122717	0.480107347078629	0.0219536265544501	0.229794969541908
98	2	49	Low_fiber	0.121448455738988	0.0090537628901806	0.0362150515607224	0.00523106300321546	0.0166442913738674	0.00109742580487038	0.0477380225118613	0.0157297698698087	0.000720642945198213	0.00184733343819847	0.579806633573182	0.0152176378275359	0.149249909462371
99	2	50	High_fiber2	0.324938699507752	0.00769712947770137	0.0926420973064656	0.0281152633616637	0.00453992367397356	0.000672922696852934	0.115917848122269	0.0214321269888092	0.000689054405339135	0.000984034217658229	0.315720580372781	0.0304197931454066	0.0562305267233274
100	2	51	High_fiber2	0.377621497385787	0.00389276481873003	0.0717947044412484	0.00384614488078116	0.00110955452318293	0.00126106932151673	0.164335281269741	0.0161771184682553	0.000393938475667889	0.00106060358833662	0.270395640103403	0.0317015578052266	0.0564101249181237
101	2	52	High_fiber2	0.412737577839375	0.00338309490032275	0.0629255651460031	0.00358608059434211	0.000852539914881332	0.000933734192489078	0.152013730854502	0.01456986203739	0.000723982308669068	0.000717216118868422	0.234561246422377	0.0349586473033351	0.0780367223674447
102	2	53	High_fiber2	0.490058945749745	0.0040664465711149	0.0753335294264235	0.00495272338789636	0.00151709737460825	0.00117822682701534	0	3.440839406328e-06	0.000959264319339926	0.00120950718525469	0.284129920674054	0.0437925015350836	0.0927983961100581
103	2	54	High_fiber2	0.443419652358993	0.00235712552043464	0.0557775246914733	0.00240380127331454	0.000837829764194096	0.0011458897332014	0.143527940105674	0.014959578798006	0.000476092679374918	0.000662795690894494	0.232445249341872	0.0354735721887194	0.0665129478538489
104	2	55	High_fiber2	0.457922166833287	0.00317371798795347	0.0444320518313486	0.00168887135787524	0.00123094919104195	0.000648345246110495	0.116747483128288	0.016095284081764	0.000571269237831625	0.00067328160173013	0.224880588860703	0.0387646982814317	0.0931712923606341
105	2	56	High_fiber2	0.480338946867123	0.0059939731831282	0.0150259875686638	0.00348964192168422	0.00133016939132434	0.000603502779397154	0.134043304403518	0.0164423716427592	0.00073077207301152	0.000632241006987495	0.242222203975729	0.0465969833071952	0.0525499018794801
106	2	57	High_fiber2	0.391027821174793	0.00381934150914914	0.0214610618133142	0.00260078969432537	0.00168596646618155	0.000492876928085437	0.147863078425631	0.0133495079415022	0.000352834406083302	0.000856623738480593	0.261897703484513	0.0636556918191524	0.0909367025987891
107	2	58	High_fiber2	0.346734225904283	0.00323618610843997	0.022422146608477	0.00360603594940454	0.0016111583697019	0.000591759745543309	0.152794215548487	0.0128522819735188	0.000767438420001479	0.000931559286929507	0.272764257711369	0.063799097566388	0.117889636807456
108	2	59	High_fiber2	0.44833177193893	0.00228183195753864	0.0266749369684095	0.00184796250082355	0.00132731915276544	0.000417800217577498	0.120840678314722	0.0136909917452319	0.000555995674160824	0.00077935809817341	0.226576271840105	0.0605810315487372	0.0960940500428245
